USER_ID,ITEM_ID,ITEM_NAME,BUY_DT,IS_REBUY
kurlyholic,9079954968,[오뚜기] [오뚜기] 3분 쇠고기 카레 12개 or 짜장  12개,2022-04-21 23:55,재구매
kurlyholic,27715132325,꼬꼬빌 [CJ프레시웨이] 이츠웰 맛김치 10kg,2022-07-19 11:40,
kurlyholic,82609472025,코카콜라 제로 1.5L,2022-02-09 12:14,
kurlyholic,82609472025,코카콜라 제로 1.5L,2022-04-22 17:08,재구매
kurlyholic,9079954968,[오뚜기] [오뚜기] 3분 쇠고기 카레 12개 or 짜장  12개,2021-12-27 7:31,
kurlyholic,30675521414,산지애) 알뜰사과 대과 4kg+4kg,2022-06-21 19:05,
kurlyholic,695324279,순샘 주방 세제 기름 식기 그릇 액상 세제 1.2L,2022-07-28 19:17,
SAJAqqtBImc,31671981459,갤러리아 실속 가정용 나주배 신고배 7.5kg(13-15과),2021-08-31 2:27,
2HqEiZpgFFq,25299199912,백설 백설 사과식초500ml,2022-03-27 9:52,
qAGlzP,82347005648,CJ 비비고 사골곰탕 500g x16개,2022-06-02 18:11,
jmk1rI0UpJK,33131234049,(제브라)클립온 멀티 볼펜 X 100개,2021-09-28 5:26,
UfblnPgV7T,920539949,NC서면 써멀 플렉스 파워 웜 재킷 REWMJKF20312_서면점,2022-08-31 8:43,
8OEwIvKR,79701550,NC05 여성 냉감소재긴팔티KJ 바트나 (S5992439),2021-10-19 5:24,
peABzQ,1931324342,[경상북도][자연맛남] 아삭아삭 세척사과 3kg (13과내),2022-07-16 20:13,
uXOOAJ1Ryt,32594678568,종가집 포기 김치 1kg x2+열무 김치 900g x1 혼합팩 / 종갓집 주문 생김치,2022-02-16 2:52,
iuHOy2qKvz8D,33090912978,[서의성농협] 의성의미 찹쌀 1kg,2022-07-12 9:17,
iSX0lx,33156816986,파스퇴르 아이생각 상온 무균이유식 완료기 12개,2022-04-13 7:28,
NqfhBqfC,32302856540,다들림 참 고소한참기름(깨분참기름:베트남산) 1.8L,2022-02-06 12:35,
UFWag1G,33207216194,단단한 목수 연필 18 리필 목공 도구 목공 건축가를,2022-07-10 22:42,
eOfd6CSW,83443764736,[풍국면] 쫄깃 국수 소면 3kg,2022-06-07 3:07,
qS8pJLa,1313160447,쿨폰 여름등산바지 등산복 작업복바지 쿨바지 등산복,2022-08-01 6:14,
BdAgTpPE8A,30404852687,[삼부자갈비]40년전통 수원 삼부자 뼈없는갈비탕 10팩,2022-01-28 2:33,
4SbtGhI,29907791390,(무)샘표식품 황도400g,2021-12-24 19:50,
b6WBK3paxS,30071374812,연수네쌀가게 국산 흑미 2kg(1kgX2) 2021년 햅쌀,2022-05-20 9:22,
5Al274pk3n,26410754309,프레시데이 [프레시데이] 사과가그대로 동결건조 과일칩 생생사과칩 12봉 (20g/봉),2022-03-17 8:46,
H9EgPPUw,32999448261,6000찰떡파이 스낵과자,2022-02-18 22:19,
lijbJ7n,1334630054,청정원 호밍스 소고기 볶음밥 420g x 5개,2022-03-03 22:24,
SODo9wQA2fD,32421958654,서천군농협 2021년 청풍명월 쌀,2022-08-14 21:16,
bFIsCLfFUk7,1023012533,로엠 싱글 캐주얼 자켓__A RMJKB2302B,2021-10-23 13:20,
UAbIiyH,734180895,펜텔 아인슈타인 샤프심 HB 0.3mm 10개 MO,2022-04-14 22:35,
