USER_ID,ITEM_ID,ITEM_NAME,JJIM_DT,IS_BUY
kurlyholic,9079954968,[오뚜기] [오뚜기] 3분 쇠고기 카레 12개 or 짜장  12개,2021-12-27 7:28,1
kurlyholic,82609472025,코카콜라 제로 1.5L,2022-02-09 12:14,1
kurlyholic,7059922568,K 믿을수 있는 우리 농산물 흙쪽파 1단(대),2021-10-11 20:39,0
kurlyholic,30675521414,산지애) 알뜰사과 대과 4kg+4kg,2022-06-21 19:05,0
SAJAqqtBImc,31671981459,갤러리아 실속 가정용 나주배 신고배 7.5kg(13-15과),2021-08-10 21:21,1
2HqEiZpgFFq,25299199912,백설 백설 사과식초500ml,2022-03-12 9:58,1
qAGlzP,82347005648,CJ 비비고 사골곰탕 500g x16개,2022-04-01 20:34,0
jmk1rI0UpJK,33131234049,(제브라)클립온 멀티 볼펜 X 100개,2021-08-18 12:22,0
UfblnPgV7T,920539949,NC서면 써멀 플렉스 파워 웜 재킷 REWMJKF20312_서면점,2022-08-25 22:56,1
8OEwIvKR,79701550,NC05 여성 냉감소재긴팔티KJ 바트나 (S5992439),2021-10-06 16:09,0
peABzQ,1931324342,[경상북도][자연맛남] 아삭아삭 세척사과 3kg (13과내),2022-05-24 18:12,1
uXOOAJ1Ryt,32594678568,종가집 포기 김치 1kg x2+열무 김치 900g x1 혼합팩 / 종갓집 주문 생김치,2021-11-10 10:53,1
iuHOy2qKvz8D,33090912978,[서의성농협] 의성의미 찹쌀 1kg,2021-09-23 23:22,0
iSX0lx,33156816986,파스퇴르 아이생각 상온 무균이유식 완료기 12개,2022-03-17 15:32,1
NqfhBqfC,32302856540,다들림 참 고소한참기름(깨분참기름:베트남산) 1.8L,2021-10-24 15:36,0
UFWag1G,33207216194,단단한 목수 연필 18 리필 목공 도구 목공 건축가를,2022-06-14 21:50,0
eOfd6CSW,83443764736,[풍국면] 쫄깃 국수 소면 3kg,2022-05-10 10:14,0
qS8pJLa,1313160447,쿨폰 여름등산바지 등산복 작업복바지 쿨바지 등산복,2022-08-01 5:02,0
BdAgTpPE8A,30404852687,[삼부자갈비]40년전통 수원 삼부자 뼈없는갈비탕 10팩,2021-08-14 10:46,1
4SbtGhI,29907791390,(무)샘표식품 황도400g,2021-11-30 19:42,0
b6WBK3paxS,30071374812,연수네쌀가게 국산 흑미 2kg(1kgX2) 2021년 햅쌀,2021-12-17 19:23,0
5Al274pk3n,26410754309,프레시데이 [프레시데이] 사과가그대로 동결건조 과일칩 생생사과칩 12봉 (20g/봉),2022-03-04 18:54,1
H9EgPPUw,32999448261,6000찰떡파이 스낵과자,2021-11-21 15:43,1
